Route_name,Time_stamp,Maximum_queue_length_points,Maximum_queue_length_meters,Num_vehicles,Coordinates
23.732994,23.732994,683,186.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732609,23.732609,647,186.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732833,23.732833,674,186.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732923,23.732923,683,187.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732892,23.732892,683,187.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732635,23.732635,663,187.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732864,23.732864,683,187.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732834,23.732834,683,188.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732768,23.732768,683,188.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731935,23.731935,520,189.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732298,23.732298,647,189.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732606,23.732606,683,190.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73194,23.73194,492,190.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732183,23.732183,534,193.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733334,23.733334,692,193.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733303,23.733303,692,193.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733333,23.733333,703,194.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731937,23.731937,595,194.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733207,23.733207,692,195.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731902,23.731902,595,195.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731876,23.731876,595,195.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733333,23.733333,743,196.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731841,23.731841,595,196.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733021,23.733021,692,197.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732994,23.732994,692,197.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733204,23.733204,720,197.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732958,23.732958,692,197.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73224,23.73224,652,199.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731839,23.731839,635,199.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733583,23.733583,754,199.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732209,23.732209,652,199.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732179,23.732179,652,199.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732106,23.732106,707,200.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732073,23.732073,707,201.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732609,23.732609,692,201.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731812,23.731812,635,201.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732043,23.732043,707,202,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731581,23.731581,637,202.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733023,23.733023,731,203.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732993,23.732993,731,204.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733141,23.733141,754,204.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733113,23.733113,754,204.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733051,23.733051,754,205.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733021,23.733021,754,205.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73299,23.73299,754,206.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732926,23.732926,754,206.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731767,23.731767,707,207.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731706,23.731706,707,209.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732028,23.732028,703,209.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731992,23.731992,703,209.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732862,23.732862,713,210.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731853,23.731853,720,213.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732384,23.732384,791,218.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731899,23.731899,672,220.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731876,23.731876,672,221.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732207,23.732207,219,223.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732333,23.732333,633,223.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732333,23.732333,606,224.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732356,23.732356,447,226.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73232,23.73232,610,227.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732327,23.732327,625,229.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732934,23.732934,762,231.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732338,23.732338,645,232.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732324,23.732324,834,237.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732201,23.732201,616,237.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732223,23.732223,815,241.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732254,23.732254,558,244.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732347,23.732347,558,245.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732261,23.732261,586,246.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73175,23.73175,616,246.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732346,23.732346,586,248.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732253,23.732253,669,249.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731361,23.731361,866,250.12,OktovriouIs28_tw_South,
,,,,,
23.732245,23.732245,829,250.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732344,23.732344,669,250.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732258,23.732258,840,252.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732257,23.732257,832,254.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732295,23.732295,858,256.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731439,23.731439,916,256.84,OktovriouIs28_tw_South,
,,,,,
23.731437,23.731437,916,256.96,OktovriouIs28_tw_South,
,,,,,
23.731433,23.731433,916,257.2,OktovriouIs28_tw_South,
,,,,,
23.732265,23.732265,722,258.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731419,23.731419,916,258.08,OktovriouIs28_tw_South,
,,,,,
23.732352,23.732352,722,260.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732464,23.732464,701,266.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732432,23.732432,701,267,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732407,23.732407,701,267.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731452,23.731452,938,267.72,OktovriouIs28_tw_South,
,,,,,
23.731441,23.731441,938,268.68,OktovriouIs28_tw_South,
,,,,,
23.732251,23.732251,756,268.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731436,23.731436,938,269.08,OktovriouIs28_tw_South,
,,,,,
23.732139,23.732139,793,269.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731431,23.731431,938,269.48,OktovriouIs28_tw_South,
,,,,,
23.732179,23.732179,756,269.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732103,23.732103,793,269.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732154,23.732154,756,269.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731426,23.731426,938,269.92,OktovriouIs28_tw_South,
,,,,,
23.732138,23.732138,701,270.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732105,23.732105,701,270.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732076,23.732076,701,271,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733143,23.733143,874,271.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732048,23.732048,701,271.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732019,23.732019,701,271.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731986,23.731986,701,271.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732959,23.732959,871,273.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732011,23.732011,715,273.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731979,23.731979,715,273.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732993,23.732993,874,273.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732925,23.732925,871,273.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732894,23.732894,871,274.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733241,23.733241,873,274.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732864,23.732864,871,274.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732922,23.732922,874,274.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732833,23.732833,871,275.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732892,23.732892,874,275.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733239,23.733239,899,275.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732014,23.732014,716,275.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732861,23.732861,874,275.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732767,23.732767,871,275.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732894,23.732894,883,276.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73198,23.73198,716,276.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732862,23.732862,883,276.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733303,23.733303,924,277.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732609,23.732609,871,277.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733144,23.733144,881,278.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733114,23.733114,881,278.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732607,23.732607,874,278.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.7319,23.7319,853,278.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731876,23.731876,853,279.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732638,23.732638,883,279.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733052,23.733052,881,279.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732606,23.732606,883,279.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733024,23.733024,881,279.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732926,23.732926,899,279.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73201,23.73201,742,279.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732994,23.732994,881,279.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732894,23.732894,899,280.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731981,23.731981,742,280.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732958,23.732958,881,280.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732862,23.732862,899,280.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731979,23.731979,779,282,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732704,23.732704,899,282.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732209,23.732209,696,283.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732182,23.732182,696,283.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733458,23.733458,961,284.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733393,23.733393,961,285.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73333,23.73333,961,285.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.7333,23.7333,961,285.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732086,23.732086,871,285.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733237,23.733237,961,286.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732053,23.732053,874,287.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733551,23.733551,979,287.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732028,23.732028,874,287.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731835,23.731835,696,287.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732102,23.732102,924,288.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733425,23.733425,979,288.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732027,23.732027,883,288.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733328,23.733328,979,289.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731874,23.731874,871,289.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731841,23.731841,871,289.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733526,23.733526,927,290.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731522,23.731522,616,290.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731898,23.731898,881,290.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731873,23.731873,881,290.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731837,23.731837,881,291.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73181,23.73181,881,291.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732139,23.732139,796,292,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732106,23.732106,796,292.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732364,23.732364,900,292.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732336,23.732336,900,292.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732311,23.732311,900,293,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731719,23.731719,881,293.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732281,23.732281,900,293.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.7319,23.7319,768,293.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732252,23.732252,900,293.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731685,23.731685,881,293.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731877,23.731877,768,293.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73184,23.73184,768,294.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.7316,23.7316,924,294.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731809,23.731809,768,294.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731507,23.731507,883,297.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731316,23.731316,1023,302.44,OktovriouIs28_tw_South,
,,,,,
23.732136,23.732136,890,302.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732103,23.732103,890,302.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73207,23.73207,890,303.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732046,23.732046,890,303.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732018,23.732018,890,303.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731877,23.731877,855,303.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731982,23.731982,890,304,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731835,23.731835,855,304.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732279,23.732279,859,304.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732245,23.732245,954,304.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732159,23.732159,775,305.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732222,23.732222,954,305.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732255,23.732255,859,305.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732189,23.732189,954,305.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732097,23.732097,775,305.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731625,23.731625,855,307,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731936,23.731936,775,307.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731593,23.731593,855,307.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731899,23.731899,775,307.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731556,23.731556,855,307.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73187,23.73187,775,307.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731836,23.731836,775,308.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731802,23.731802,775,308.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73174,23.73174,775,308.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732963,23.732963,879,309.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733955,23.733955,948,313.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732325,23.732325,872,314.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73235,23.73235,999,315.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732323,23.732323,902,316.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732195,23.732195,892,316.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733954,23.733954,513,318.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732322,23.732322,850,319.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73239,23.73239,847,320.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73232,23.73232,975,321.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731281,23.731281,1013,325.96,OktovriouIs28_tw_South,
,,,,,
23.73231,23.73231,256,326.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732321,23.732321,1060,327.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731276,23.731276,1013,327.84,OktovriouIs28_tw_South,
,,,,,
23.732346,23.732346,1060,328,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731269,23.731269,1013,330.08,OktovriouIs28_tw_South,
,,,,,
23.731264,23.731264,1013,330.84,OktovriouIs28_tw_South,
,,,,,
23.732216,23.732216,943,331.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732252,23.732252,938,335.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732232,23.732232,966,338.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731334,23.731334,1019,338.16,OktovriouIs28_tw_South,
,,,,,
23.732313,23.732313,976,338.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73416,23.73416,1045,339.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732295,23.732295,964,339.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732318,23.732318,966,340.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73413,23.73413,1045,340.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732254,23.732254,907,341.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732261,23.732261,1041,342.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732257,23.732257,1061,344.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732338,23.732338,1041,344.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732342,23.732342,1061,346.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732241,23.732241,1066,347.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731314,23.731314,1130,348.44,OktovriouIs28_tw_South,
,,,,,
23.73131,23.73131,1130,348.64,OktovriouIs28_tw_South,
,,,,,
23.731409,23.731409,1120,349.44,OktovriouIs28_tw_South,
,,,,,
23.731378,23.731378,1151,357.08,OktovriouIs28_tw_South,
,,,,,
23.733112,23.733112,1110,364,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732994,23.732994,1098,365.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733025,23.733025,1110,366.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732961,23.732961,1098,366.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732237,23.732237,980,369.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732213,23.732213,980,369.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732611,23.732611,1110,371.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732609,23.732609,1124,372.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732368,23.732368,1108,373.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732299,23.732299,1098,373.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732339,23.732339,1108,373.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732316,23.732316,1108,374.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731762,23.731762,1045,374.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732181,23.732181,984,379.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732243,23.732243,971,379.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732241,23.732241,1006,397.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732214,23.732214,1006,397.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732864,23.732864,1191,400.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732834,23.732834,1191,400.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732805,23.732805,1191,401.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732344,23.732344,1164,402.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733961,23.733961,1139,403.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732328,23.732328,1175,403.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732317,23.732317,1092,404.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732345,23.732345,1092,405.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732556,23.732556,1191,406.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732253,23.732253,192,407.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732337,23.732337,1254,407.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733996,23.733996,1043,408.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732175,23.732175,192,410.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733997,23.733997,1047,410.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732335,23.732335,1199,410.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73233,23.73233,1216,413.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.734,23.734,1068,416.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731278,23.731278,1222,417.96,OktovriouIs28_tw_South,
,,,,,
23.733973,23.733973,1109,418.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731224,23.731224,1242,418.92,OktovriouIs28_tw_South,
,,,,,
23.732264,23.732264,1227,422,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732249,23.732249,1003,423.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.734011,23.734011,863,425.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732255,23.732255,1029,426.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733995,23.733995,1249,427.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732256,23.732256,1093,428.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732304,23.732304,1093,429.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732253,23.732253,1111,430.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732239,23.732239,1262,431.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732343,23.732343,1111,431.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732246,23.732246,1118,433.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732245,23.732245,1268,434.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732341,23.732341,1268,436.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73435,23.73435,1261,441.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731385,23.731385,1299,441.52,OktovriouIs28_tw_South,
,,,,,
23.731378,23.731378,1299,442.28,OktovriouIs28_tw_South,
,,,,,
23.734289,23.734289,1261,443.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731386,23.731386,1304,443.28,OktovriouIs28_tw_South,
,,,,,
23.731379,23.731379,1304,444.04,OktovriouIs28_tw_South,
,,,,,
23.732526,23.732526,1191,444.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732461,23.732461,1191,446,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733743,23.733743,1290,448.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732185,23.732185,1191,449.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732044,23.732044,1169,449.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732016,23.732016,1169,449.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731982,23.731982,1169,450.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732159,23.732159,1116,450.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732101,23.732101,1116,450.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732072,23.732072,1116,451.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732047,23.732047,1116,451.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733583,23.733583,1290,451.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732014,23.732014,1116,451.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731982,23.731982,1116,452.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732452,23.732452,1016,453.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732141,23.732141,1155,453.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732138,23.732138,1158,455.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732104,23.732104,1158,455.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73198,23.73198,1155,455.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732116,23.732116,1096,455.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732099,23.732099,1142,456.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73207,23.73207,1142,457.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732046,23.732046,1142,457.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732018,23.732018,1142,457.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731987,23.731987,1142,458,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733241,23.733241,1290,459.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733178,23.733178,1290,460.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733144,23.733144,1290,460.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
